ARC_CODE,DESCRIPTION,ARC_2DIGIT,CATEGORY_NAME,SUBCATEGORY
2.2441,Preheat boiler makeup water with waste process heat,2.2,Thermal Systems,Heat Recovery - Process Waste Heat
2.2442,Preheat combustion air with waste heat,2.2,Thermal Systems,Heat Recovery - Process Waste Heat
2.2443,Re-use or recycle hot or cold process exhaust air,2.2,Thermal Systems,Heat Recovery - Process Waste Heat
2.2444,Use hot process fluids to preheat incoming process fluids,2.2,Thermal Systems,Heat Recovery - Process Waste Heat
2.2447,Heat water with exhaust heat,2.2,Thermal Systems,Heat Recovery - Process Waste Heat
2.2449,"Recover heat from exhausted steam, hot air or hot water",2.2,Thermal Systems,Heat Recovery - Process Waste Heat
2.2491,Use cooling air which cools hot work pieces for space heating,2.2,Thermal Systems,Heat Recovery - Misc
2.2492,Use heat wheel or other heat exchanger to cross-exchange building exhaust air with make-up air,2.2,Thermal Systems,Heat Recovery - Misc
2.2511,Insulate bare equipment,2.2,Thermal Systems,Heat Containment - Insulation
2.2514,Cover open tanks,2.2,Thermal Systems,Heat Containment - Insulation
2.2515,Use optimum thickness insulation,2.2,Thermal Systems,Heat Containment - Insulation
2.2521,Isolate steam lines to avoid heating air conditioned areas,2.2,Thermal Systems,Heat Containment - Isolation
2.2522,Isolate hot or cold equipment,2.2,Thermal Systems,Heat Containment - Isolation
2.2523,Reduce infiltration; isolate hot equipment from refrigerated areas,2.2,Thermal Systems,Heat Containment - Isolation
2.2524,Avoid cooling of process streams or materials that must subsequently be heated,2.2,Thermal Systems,Heat Containment - Isolation
2.2525,Eliminate cooling of process streams which subsequently must be heated and vice versa,2.2,Thermal Systems,Heat Containment - Isolation
2.2531,Re-size charging openings or add movable cover or door,2.2,Thermal Systems,Heat Containment - Infiltration
2.2532,Use only amount of air necessary to prevent explosion hazard,2.2,Thermal Systems,Heat Containment - Infiltration
2.2533,Replace air curtain doors with solid doors,2.2,Thermal Systems,Heat Containment - Infiltration
2.2611,Moderate cooling tower outlet temperature,2.2,Thermal Systems,Cooling - Cooling Towers
2.2612,Use cooling tower water instead of refrigeration,2.2,Thermal Systems,Cooling - Cooling Towers
2.2613,Use antifreeze in cooling towers to allow winter use,2.2,Thermal Systems,Cooling - Cooling Towers
2.2614,Use cooling tower or economizer to replace chiller cooling,2.2,Thermal Systems,Cooling - Cooling Towers
2.2615,Clean condenser tubes,2.2,Thermal Systems,Cooling - Cooling Towers
2.2621,Modify refrigeration system to operate at a lower pressure,2.2,Thermal Systems,Cooling - Chillers/Refrigeration
2.2622,Replace existing chiller with high efficiency model,2.2,Thermal Systems,Cooling - Chillers/Refrigeration
2.2623,Minimize condenser cooling water temperature,2.2,Thermal Systems,Cooling - Chillers/Refrigeration
2.2624,Use cold waste water to cool chiller feed water,2.2,Thermal Systems,Cooling - Chillers/Refrigeration
2.2625,Chill water to the highest temperature possible,2.2,Thermal Systems,Cooling - Chillers/Refrigeration
2.2626,Avoid frost formation on evaporators,2.2,Thermal Systems,Cooling - Chillers/Refrigeration
2.2627,Use multiple-effect evaporators,2.2,Thermal Systems,Cooling - Chillers/Refrigeration
2.2628,Utilize a less expensive cooling method,2.2,Thermal Systems,Cooling - Chillers/Refrigeration
2.2691,Shut off cooling if cold outside air will cool process,2.2,Thermal Systems,Cooling - Misc
2.2692,Use outside cold water source as a supply of cooling water,2.2,Thermal Systems,Cooling - Misc
2.2693,Use waste heat steam for absorption refrigeration,2.2,Thermal Systems,Cooling - Misc
2.2694,Use highest temperature for chilling or cold storage,2.2,Thermal Systems,Cooling - Misc
2.2695,Use cascade system of recirculating during cold weather to avoid sub-cooling,2.2,Thermal Systems,Cooling - Misc
2.2696,Use excess cold process fluid for industrial cooling needs,2.2,Thermal Systems,Cooling - Misc
2.2711,Utilize outside air instead of conditioned air for drying,2.2,Thermal Systems,Drying
2.3111,Heat water during off-peak periods and store for later use,2.3,Electrical Power,Demand Mgmt - Thermal Storage
2.3112,Store heated/cooled water for use during peak demand periods,2.3,Electrical Power,Demand Mgmt - Thermal Storage
2.3113,Make ice during off peak hours for cooling,2.3,Electrical Power,Demand Mgmt - Thermal Storage
2.3131,Reschedule plant operations or reduce load to avoid peaks,2.3,Electrical Power,Demand Mgmt - Scheduling
2.3132,Recharge batteries during off-peak demand periods,2.3,Electrical Power,Demand Mgmt - Scheduling
2.3133,Consider three or four days around-the-clock operation rather than one or two shifts per day,2.3,Electrical Power,Demand Mgmt - Scheduling
2.3134,Shift from daytime to nighttime operation,2.3,Electrical Power,Demand Mgmt - Scheduling
2.3135,Schedule routine maintenance during non-operating periods,2.3,Electrical Power,Demand Mgmt - Scheduling
2.3136,Overlap custodial services with normal day hours,2.3,Electrical Power,Demand Mgmt - Scheduling
2.3137,Use power during off-peak periods,2.3,Electrical Power,Demand Mgmt - Scheduling
2.3141,Use batteries for demand control,2.3,Electrical Power,Demand Mgmt - Battery Storage
2.3142,Use batteries for power quality issues,2.3,Electrical Power,Demand Mgmt - Battery Storage
2.3191,Use demand controller or load shedder,2.3,Electrical Power,Demand Mgmt - Misc
2.3192,Use fossil fuel powered generator during peak demand periods,2.3,Electrical Power,Demand Mgmt - Misc
2.3212,Optimize plant power factor,2.3,Electrical Power,Power Factor
2.3311,Replace DC equipment with AC equipment,2.3,Electrical Power,Generation - DC
2.3312,Install efficient rectifiers,2.3,Electrical Power,Generation - DC
2.3321,Use steam pressure reduction to generate power,2.3,Electrical Power,Generation - AC
2.3322,Use existing dam to generate electricity,2.3,Electrical Power,Generation - AC
2.3323,Install emissions controls to increase capacity,2.3,Electrical Power,Generation - AC
2.3411,Replace electric motors with back pressure steam turbines and use exhaust steam for process heat,2.3,Electrical Power,Cogeneration
2.3412,Use waste heat to produce steam to drive a steam turbine generator,2.3,Electrical Power,Cogeneration
2.3413,Burn fossil fuel to produce steam to drive a steam turbine generator and use steam exhaust for heat,2.3,Electrical Power,Cogeneration
2.3414,Burn waste to produce steam to drive a steam turbine generator set and use steam exhaust for heat,2.3,Electrical Power,Cogeneration
2.3415,Use a fossil fuel engine to cogenerate electricity or motive power; and utilize heat,2.3,Electrical Power,Cogeneration
2.3416,Use combined cycle gas turbine generator sets with waste heat boilers connected to turbine exhaust,2.3,Electrical Power,Cogeneration
2.3417,Use waste heat with a closed-cycle gas turbine-generator set to cogenerate electricity and heat,2.3,Electrical Power,Cogeneration
2.3511,Use plant owned transformers or lease transformers,2.3,Electrical Power,Transmission - Transformers
2.3512,De-energize excess transformer capacity,2.3,Electrical Power,Transmission - Transformers
2.3513,Consider power loss as well as initial loads and load growth in down-sizing transformers,2.3,Electrical Power,Transmission - Transformers
2.3521,Reduce load on electrical conductor to reduce heating losses,2.3,Electrical Power,Transmission - Conductor Size
2.3522,Increase electrical conductor size to reduce distribution losses,2.3,Electrical Power,Transmission - Conductor Size
2.4111,Utilize energy-efficient belts and other improved mechanisms,2.4,Motor Systems,Motors - Operation
2.4112,Install soft-start to eliminate nuisance trips,2.4,Motor Systems,Motors - Operation
2.4113,Install motor voltage controller on lightly loaded motors,2.4,Motor Systems,Motors - Operation
2.4132,Size electric motors for peak operating efficiency,2.4,Motor Systems,Motors - Hardware
2.4133,Use most efficient type of electric motors,2.4,Motor Systems,Motors - Hardware
2.4134,Replace electric motor with fossil fuel engine,2.4,Motor Systems,Motors - Hardware
2.4145,Install isolation transformer on adjustable frequency drive,2.4,Motor Systems,Motors - Drives
2.4146,Use adjustable frequency drive or multiple speed motors on existing system,2.4,Motor Systems,Motors - Drives
2.4151,Develop a repair/replace policy,2.4,Motor Systems,Motors - Maintenance
2.4152,Use only certified motor repair shops,2.4,Motor Systems,Motors - Maintenance
2.4153,Avoid emergency rewind of motors,2.4,Motor Systems,Motors - Maintenance
2.4154,Avoid rewinding motors more than twice,2.4,Motor Systems,Motors - Maintenance
2.4155,Standardize motor inventory,2.4,Motor Systems,Motors - Maintenance
2.4156,Establish a preventative maintenance program,2.4,Motor Systems,Motors - Maintenance
2.4157,Establish a predictive maintenance program,2.4,Motor Systems,Motors - Maintenance
2.4221,Install compressor air intakes in coolest locations,2.4,Motor Systems,Air Compressors - Hardware
2.4222,Install adequate dryers on air lines to eliminate blowdown,2.4,Motor Systems,Air Compressors - Hardware
2.4223,Install direct acting units in place of compressed air pressure system,2.4,Motor Systems,Air Compressors - Hardware
2.4224,Upgrade controls on compressors,2.4,Motor Systems,Air Compressors - Hardware
2.4225,Install common header on compressors,2.4,Motor Systems,Air Compressors - Hardware
2.4226,Use/purchase optimum sized compressor,2.4,Motor Systems,Air Compressors - Hardware
2.4227,Use compressor air filters,2.4,Motor Systems,Air Compressors - Hardware
2.4231,Reduce the pressure of compressed air to the minimum required,2.4,Motor Systems,Air Compressors - Operations
2.4234,Cool compressor air intake with heat exchanger,2.4,Motor Systems,Air Compressors - Operations
2.4235,Remove or close off unneeded compressed air lines,2.4,Motor Systems,Air Compressors - Operations
2.4236,Eliminate leaks in inert gas and compressed air lines/valves,2.4,Motor Systems,Air Compressors - Operations
2.4237,Substitute compressed air cooling with water or air cooling,2.4,Motor Systems,Air Compressors - Operations
2.4238,Do not use compressed air for personal cooling,2.4,Motor Systems,Air Compressors - Operations
2.4239,Eliminate or reduce compressed air usage,2.4,Motor Systems,Air Compressors - Operations
2.4311,Recover mechanical energy,2.4,Motor Systems,Other Equipment - Operations
2.4312,Improve lubrication practices,2.4,Motor Systems,Other Equipment - Operations
2.4313,Provide proper maintenance of motor driven equipment,2.4,Motor Systems,Other Equipment - Operations
2.4314,Use synthetic lubricant,2.4,Motor Systems,Other Equipment - Operations
2.4321,Upgrade obsolete equipment,2.4,Motor Systems,Other Equipment - Hardware
2.4322,Use or replace with energy efficient substitutes,2.4,Motor Systems,Other Equipment - Hardware
2.4323,Use optimum size and capacity equipment,2.4,Motor Systems,Other Equipment - Hardware
2.4324,Replace hydraulic/pneumatic equipment with electric equipment,2.4,Motor Systems,Other Equipment - Hardware
2.4325,Upgrade conveyors,2.4,Motor Systems,Other Equipment - Hardware
2.5111,Convert from indirect to direct fired systems,2.5,Industrial Design,Systems - Thermal
2.5112,Use continuous equipment which retains process heating conveyors within the heated chamber,2.5,Industrial Design,Systems - Thermal
2.5113,Use direct flame impingement or infrared processing for chamber type heating,2.5,Industrial Design,Systems - Thermal
2.5114,Use shaft type furnaces for preheating incoming material,2.5,Industrial Design,Systems - Thermal
2.5115,Reposition oven walls to reduce heated space,2.5,Industrial Design,Systems - Thermal
2.5117,Convert to indirect temperature control system,2.5,Industrial Design,Systems - Thermal
2.5121,Redesign flow to minimize mass transfer length,2.5,Industrial Design,Systems - Mechanical
2.5122,"Replace high resistance ducts, pipes, and fittings",2.5,Industrial Design,Systems - Mechanical
2.5123,Reduce fluid flow rates,2.5,Industrial Design,Systems - Mechanical
2.5124,Use gravity feeds wherever possible,2.5,Industrial Design,Systems - Mechanical
2.5125,Size air handling grills/ducts coils to minimize air resistance,2.5,Industrial Design,Systems - Mechanical
2.5191,Modify dye beck,2.5,Industrial Design,Systems - Misc
2.5192,Modify textile dryers,2.5,Industrial Design,Systems - Misc
2.5193,Convert from batch to continuous operation,2.5,Industrial Design,Systems - Misc
2.5194,Redesign process,2.5,Industrial Design,Systems - Misc
2.5195,Change product design to reduce energy requirements,2.5,Industrial Design,Systems - Misc
2.5196,Use small number of high output units instead of many small inefficient units,2.5,Industrial Design,Systems - Misc
2.6121,Reduce hot water temperature to the minimum required,2.6,Operations,Maintenance
2.6122,Adjust vents to minimize energy use,2.6,Operations,Maintenance
2.6123,Remove unneeded service lines to eliminate potential leaks,2.6,Operations,Maintenance
2.6124,Establish equipment maintenance schedule,2.6,Operations,Maintenance
2.6125,Keep equipment clean,2.6,Operations,Maintenance
2.6126,Keep solid fuels/raw materials dry,2.6,Operations,Maintenance
2.6127,Maintain air filters by cleaning or replacement,2.6,Operations,Maintenance
2.6211,Conserve energy by efficient use of vending machines,2.6,Operations,Equipment Use Reduction
2.6212,"Turn off equipment during breaks, reduce operating time",2.6,Operations,Equipment Use Reduction
2.6213,Turn off steam/hot water lines leading to space heating units,2.6,Operations,Equipment Use Reduction
2.6214,Shut off pilots in standby equipment,2.6,Operations,Equipment Use Reduction
2.6215,Shut off air conditioning in winter heating season,2.6,Operations,Equipment Use Reduction
2.6218,Turn off equipment when not in use,2.6,Operations,Equipment Use Reduction
2.6221,Use most efficient equipment at its maximum capacity,2.6,Operations,Equipment Scheduling
2.6222,Use drying oven (batch type) on alternate days or optimum schedule to run with full loads,2.6,Operations,Equipment Scheduling
2.6223,Schedule use of elevators to conserve energy,2.6,Operations,Equipment Scheduling
2.6224,Schedule baking times of small and large components,2.6,Operations,Equipment Scheduling
2.6225,Eliminate third shift,2.6,Operations,Equipment Scheduling
2.6226,Optimize filtration cleaning/replacement to minimize air resistance,2.6,Operations,Equipment Scheduling
2.6231,Utilize controls to operate equipment only when needed,2.6,Operations,Equipment Automation
2.6232,Install set-back timers,2.6,Operations,Equipment Automation
2.6241,Reduce temperature of process equipment when on standby,2.6,Operations,Load Reduction
2.6242,Minimize operation of equipment maintained in standby condition,2.6,Operations,Load Reduction
2.7111,Reduce illumination to minimum necessary levels,2.7,Building & Grounds,Lighting - Level
2.7121,Utilize daylight whenever possible in lieu of artificial light,2.7,Building & Grounds,Lighting - Operation
2.7122,Disconnect ballasts,2.7,Building & Grounds,Lighting - Operation
2.7123,Keep lamps and reflectors clean,2.7,Building & Grounds,Lighting - Operation
2.7124,Make a practice of turning off lights when not needed,2.7,Building & Grounds,Lighting - Operation
2.7131,Add area lighting switches,2.7,Building & Grounds,Lighting - Controls
2.7132,Install timers on light switches in little used areas,2.7,Building & Grounds,Lighting - Controls
2.7133,Use separate switches on perimeter lighting which may be turned off when natural light is available,2.7,Building & Grounds,Lighting - Controls
2.7134,Use photocell controls,2.7,Building & Grounds,Lighting - Controls
2.7135,Install occupancy sensors,2.7,Building & Grounds,Lighting - Controls
2.7141,Lower light fixtures in high ceiling areas,2.7,Building & Grounds,Lighting - Hardware
2.7142,Utilize higher efficiency lamps and/or ballasts,2.7,Building & Grounds,Lighting - Hardware
2.7144,Install spectral reflectors/delamp,2.7,Building & Grounds,Lighting - Hardware
2.7145,Install skylights,2.7,Building & Grounds,Lighting - Hardware
2.7211,Clean and maintain refrigerant condensers and towers,2.7,Building & Grounds,Space Conditioning - Maintenance
2.7212,Install or upgrade insulation on HVAC distribution systems,2.7,Building & Grounds,Space Conditioning - Maintenance
2.7221,Lower temperature during the winter season and vice-versa,2.7,Building & Grounds,Space Conditioning - Operation
2.7224,Reduce space conditioning during non-working hours,2.7,Building & Grounds,Space Conditioning - Operation
2.7225,Close outdoor air dampers during warm-up/cool-down periods,2.7,Building & Grounds,Space Conditioning - Operation
2.7226,Use computer programs to optimize HVAC performance,2.7,Building & Grounds,Space Conditioning - Operation
2.7227,Use water on air conditioning exchanger,2.7,Building & Grounds,Space Conditioning - Operation
2.7228,"Avoid introducing hot, humid, or dirty air into HVAC system",2.7,Building & Grounds,Space Conditioning - Operation
2.7229,Air condition only space necessary,2.7,Building & Grounds,Space Conditioning - Operation
2.7231,Use radiant heater for spot heating,2.7,Building & Grounds,Space Conditioning - Hardware Heating/Cooling
2.7232,Replace existing HVAC unit with high efficiency model,2.7,Building & Grounds,Space Conditioning - Hardware Heating/Cooling
2.7233,Use properly designed and sized HVAC equipment,2.7,Building & Grounds,Space Conditioning - Hardware Heating/Cooling
2.7234,Use heat pump for space conditioning,2.7,Building & Grounds,Space Conditioning - Hardware Heating/Cooling
2.7235,Install fossil fuel make-up air unit,2.7,Building & Grounds,Space Conditioning - Hardware Heating/Cooling
2.7241,Install outside air damper/economizer on HVAC unit,2.7,Building & Grounds,Space Conditioning - Air Circulation
2.7242,Change zone reheat coils to variable air volume boxes,2.7,Building & Grounds,Space Conditioning - Air Circulation
2.7243,Improve air circulation with destratification fans/other methods,2.7,Building & Grounds,Space Conditioning - Air Circulation
2.7244,Revise smoke cleanup from operations,2.7,Building & Grounds,Space Conditioning - Air Circulation
2.7245,Use direct air supply to exhaust hoods,2.7,Building & Grounds,Space Conditioning - Air Circulation
2.7251,Reduce air conditioning load by evaporating water from roof,2.7,Building & Grounds,Space Conditioning - Evaporation
2.7252,Utilize an evaporative air pre-cooler or other heat exchanger in AC system,2.7,Building & Grounds,Space Conditioning - Evaporation
2.7261,Install timers and/or thermostats,2.7,Building & Grounds,Space Conditioning - Controls
2.7262,Separate controls of air handlers from AC/heating systems,2.7,Building & Grounds,Space Conditioning - Controls
2.7263,Lower compressor pressure through A/C system modification,2.7,Building & Grounds,Space Conditioning - Controls
2.7264,Interlock heating and air conditioning systems to prevent simultaneous operation,2.7,Building & Grounds,Space Conditioning - Controls
2.7271,Replace electric reheat with heat pipes,2.7,Building & Grounds,Space Conditioning - Humidity
2.7272,Install heat pipes/raise cooling setpoint,2.7,Building & Grounds,Space Conditioning - Humidity
2.7273,Install desiccant humidity control system,2.7,Building & Grounds,Space Conditioning - Humidity
2.7291,Reschedule and rearrange multiple-source heating systems,2.7,Building & Grounds,Space Conditioning - Misc
2.7292,Lower ceiling to reduce conditioned space,2.7,Building & Grounds,Space Conditioning - Misc
2.7293,Modify sprinkler system to reduce heating requirements,2.7,Building & Grounds,Space Conditioning - Misc
2.7311,Ventilation system to shut off when room is not in use,2.7,Building & Grounds,Ventilation
2.7312,Minimize use of outside make-up air for ventilation except when used for economizer cycle,2.7,Building & Grounds,Ventilation
2.7313,"Recycle air for heating, ventilation and air conditioning",2.7,Building & Grounds,Ventilation
2.7314,Reduce ventilation air,2.7,Building & Grounds,Ventilation
2.7316,Centralize control of exhaust fans to ensure their shutdown,2.7,Building & Grounds,Ventilation
2.7421,Reduce glazed areas in buildings,2.7,Building & Grounds,Building Envelope - Solar Loading
2.7422,Plant trees or shrubs near windows to shield from sunlight,2.7,Building & Grounds,Building Envelope - Solar Loading
2.7423,Reduce heat gain by window tinting,2.7,Building & Grounds,Building Envelope - Solar Loading
2.7424,Shade windows from summer sun,2.7,Building & Grounds,Building Envelope - Solar Loading
2.7425,Clean or color roof to reduce solar load,2.7,Building & Grounds,Building Envelope - Solar Loading
2.7441,Replace broken windows and/or window sash,2.7,Building & Grounds,Building Envelope - Infiltration
2.7442,Keep doors and windows shut when not in use,2.7,Building & Grounds,Building Envelope - Infiltration
2.7444,Close holes and openings in building such as broken windows,2.7,Building & Grounds,Building Envelope - Infiltration
2.7446,Utilize sensors controlling roof and wall openings,2.7,Building & Grounds,Building Envelope - Infiltration
2.7447,Install vinyl strip/high speed/air curtain doors,2.7,Building & Grounds,Building Envelope - Infiltration
2.7491,"Insulate glazing, walls, ceilings, and roofs",2.7,Building & Grounds,Building Envelope - Misc
2.7492,Use proper thickness of insulation on building envelope,2.7,Building & Grounds,Building Envelope - Misc
2.7493,Use double or triple glazed windows to maintain higher relative humidity and reduce heat losses,2.7,Building & Grounds,Building Envelope - Misc
2.7494,Install storm windows and doors,2.7,Building & Grounds,Building Envelope - Misc
2.7495,Install replacement doors,2.7,Building & Grounds,Building Envelope - Misc
2.7496,Install partitions to reduce size of conditioned space,2.7,Building & Grounds,Building Envelope - Misc
2.8112,Combine utility meters,2.8,Ancillary Costs,Administrative - Utility Costs
2.8113,Purchase gas directly from a contract gas supplier,2.8,Ancillary Costs,Administrative - Utility Costs
2.8114,Change rate schedules or other changes in utility service,2.8,Ancillary Costs,Administrative - Utility Costs
2.8115,Base utility charges on usage rather than area occupied,2.8,Ancillary Costs,Administrative - Utility Costs
2.8117,Install sub-metering equipment,2.8,Ancillary Costs,Administrative - Utility Costs
2.8118,Check for accuracy of utility/power meters,2.8,Ancillary Costs,Administrative - Utility Costs
2.8121,Apply for tax-free status for energy purchases,2.8,Ancillary Costs,Administrative - Fiscal
2.8122,Use utility controlled power management,2.8,Ancillary Costs,Administrative - Fiscal
2.8123,Pay utility bills on time,2.8,Ancillary Costs,Administrative - Fiscal
